index,Polymer Name,SMILES1,SMILES2,MorganFingerprint_SMILES1,MorganFingerprint_SMILES2,C1,C2,Tg[K],Tensile_Strength_preferred,Tensile Strength_units,Elongation_preferred,Elongation_units,Elastic Modulus_preferred,Elastic Modulus_units
8634,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",60,40,415.15,43,[Mpa],40,[%],2620,[Mpa]
8633,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",77,23,404.15,39,[Mpa],38,[%],2600,[Mpa]
8632,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",84,16,400.15,37,[Mpa],51,[%],2585,[Mpa]
8631,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",91,9,396.15,35,[Mpa],57,[%],2580,[Mpa]
8630,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",93,7,395.15,30,[Mpa],39,[%],2460,[Mpa]
8629,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",98,2,392.15,30,[Mpa],33,[%],2380,[Mpa]
8628,Poly(tricyclodecanedimethylene-co-Isosorbide terephthalate),*OC(=O)c1ccc(cc1)C(=O)OCC1C2C3C(C(C1)C2)CC(C3)C*,O(C(=O)c1ccc(cc1)C(=O)O[C@H]1C2C(OC1)[C@H](CO2)*)*,"[29, 80, 145, 147, 226, 239, 247, 320, 323, 431, 585, 606, 622, 650, 695, 729, 807, 867, 926, 964, 986, 1000, 1019, 1114, 1136, 1156, 1181, 1206, 1292, 1309, 1380, 1385, 1522, 1688, 1697, 1750, 1873, 1889, 1917, 2023]","[41, 145, 221, 226, 252, 302, 323, 352, 606, 650, 656, 695, 798, 802, 807, 904, 926, 1019, 1074, 1126, 1181, 1196, 1350, 1380, 1385, 1452, 1563, 1688, 1697, 1750, 1873, 1917, 1923, 1935, 2023]",100,0,389.15,30,[Mpa],39,[%],2515,[Mpa]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8653,Poly[(benzenedimethylene methylated dimethoxydivanillate)-co-(butylene methylated dimethoxydivanillate)],*C(=O)c1cc(c(c(c1)OC)OC)c1c(c(cc(c1)C(=O)OCc1ccc(cc1)CO*)OC)OC,C(=O)(c1cc(c(c(c1)OC)OC)c1c(c(cc(c1)C(=O)OCCCCO*)OC)OC)*,"[80, 145, 147, 226, 249, 264, 310, 333, 352, 428, 650, 695, 718, 745, 807, 841, 875, 876, 1057, 1119, 1286, 1327, 1380, 1385, 1515, 1522, 1536, 1546, 1599, 1688, 1746, 1749, 1750, 1754, 1867, 1873, 1876, 1892, 1914, 1917, 1970, 2042]","[13, 59, 80, 145, 147, 226, 249, 264, 333, 352, 428, 650, 695, 807, 841, 875, 876, 1057, 1119, 1249, 1286, 1327, 1380, 1385, 1515, 1522, 1536, 1546, 1592, 1599, 1647, 1688, 1734, 1746, 1749, 1873, 1892, 1911, 1917, 1970]",26,74,390.15,23.3,[Mpa],18.4,[%],370,[Mpa]
8654,Poly[(benzenedimethylene methylated dimethoxydivanillate)-co-(hexylene methylated dimethoxydivanillate)],*C(=O)c1cc(c(c(c1)OC)OC)c1c(c(cc(c1)C(=O)OCc1ccc(CO*)cc1)OC)OC,C(=O)(c1cc(c(c(c1)OC)OC)c1c(c(cc(c1)C(=O)OCCCCCCO*)OC)OC)*,"[80, 145, 147, 226, 249, 264, 310, 333, 352, 428, 650, 695, 718, 745, 807, 841, 875, 876, 1057, 1119, 1286, 1327, 1380, 1385, 1515, 1522, 1536, 1546, 1599, 1688, 1746, 1749, 1750, 1754, 1867, 1873, 1876, 1892, 1914, 1917, 1970, 2042]","[13, 59, 80, 145, 147, 226, 249, 264, 333, 352, 428, 650, 695, 807, 841, 875, 876, 1057, 1119, 1143, 1249, 1286, 1327, 1380, 1385, 1515, 1522, 1536, 1546, 1592, 1599, 1647, 1688, 1734, 1746, 1749, 1873, 1892, 1911, 1917, 1970]",42,58,373.15,17.5,[Mpa],13.3,[%],190,[Mpa]
